page,title,price,address,link
1,"Cho thuê gấp căn studio tại Geleximco Lê Trọng Tấn Full đồ, đỗ ô tô miễn phí",4 triệu/tháng,"Dương Nội, Hà Đông",https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-duong-le-trong-tan-phuong-duong-noi-prj-khu-do-thi-geleximco-le-trong-tan/cho-gap-can-studio-tai-geximco-full-o-to-mien-phi-pr42309983
1,"Cho thuê phòng trọ tại Mỗ Lao, Hà Đông, diện tích 25-35 m2 tuỳ phòng, sét up nội thất theo nhu cầu","3,6 triệu/tháng","Mỗ Lao, Hà Đông",https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-duong-vu-trong-khanh-phuong-mo-lao-prj-khu-do-thi-mo-lao/cho-tai-ha-dong-dien-tich-25-35-m2-tuy-set-up-noi-that-theo-nhu-cau-pr44149201
1,"Cho thuê phòng studio cao cấp, full nội thất ô tô đỗ cửa, gần Tiểu học Văn Yên, Hà Đông","4,2 triệu/tháng","Mỗ Lao, Hà Đông",https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-duong-nguyen-cong-tru-phuong-mo-lao/cho-studio-cao-cap-full-noi-that-o-to-do-cua-gan-tieu-hoc-van-yen-ha-dong-pr43141779
1,"Cho thuê phòng studio cao cấp, full nội thất ô tô đỗ cửa, gần Tiểu học Văn Yên, Hà Đông","4,2 triệu/tháng","Mỗ Lao, Hà Đông",https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-duong-nguyen-cong-tru-phuong-mo-lao/cho-studio-cao-cap-full-noi-that-o-to-do-cua-gan-tieu-hoc-van-yen-ha-dong-pr43141779
1,"Cho thuê phòng trọ tại dịch vụ Mỗ Lao, có đồ nội thất cơ bản, vào được ngay","3,8 triệu/tháng","Mỗ Lao, Hà Đông",https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-duong-vu-trong-khanh-phuong-mo-lao/cho-tai-dich-co-do-noi-that-co-ban-vao-duoc-ngay-pr44261509
1,"Nhà ngay mặt đường Vạn Phúc - Tố Hữu còn phòng gần Lê Trọng Tấn, Hà Đông đủ đồ ở ngay giá tốt","3,65 triệu/tháng","Vạn Phúc, Hà Đông",https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-pho-van-phuc-phuong-van-phuc-1/-ngay-mat-duong-to-huu-con-gan-le-trong-tan-ha-dong-du-do-o-ngay-gia-tot-pr42848011
1,"Ngay Chiến Thắng - Văn Quán chỉ hơn 3tr đủ đồ - vskk - ở ngay tiện ra Nguyễn Trãi, Trần Phú","3,65 triệu/tháng","Văn Quán, Hà Đông",https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-duong-chien-thang-phuong-van-quan/cho-dep-tai-3-85-trieu-25m2-day-du-tien-nghi-pr41431124
1,"Cho thuê nhà trọ cuối đường Nguyễn Khuyến, Văn Quán 1PN khép kín diện tích 30m2, chỉ với 3,4 triệu","3,4 triệu/tháng","Văn Quán, Hà Đông",https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-duong-van-quan-phuong-van-quan/cho-cuoi-nguyen-khuyen-1pn-khep-kin-dien-tich-30m2-chi-voi-3-4-trieu-pr43371365
1,CCMN full đồ ban công thoáng - khu vực Văn Quán Chiến Thắng - ở luôn - ô tô đỗ cửa,"4,25 triệu/tháng","Văn Quán, Hà Đông",https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-duong-chien-thang-phuong-van-quan/sale-sap-san-khu-vuc-ha-dong-ban-cong-ngon-bo-re-gia-tu-3xxx-tang-1tr2-o-luon-pr39250252
1,Cho thuê phòng tại gần khu đô thị Văn Quán,"3,8 triệu/tháng","Văn Quán, Hà Đông",https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-duong-bach-thai-buoi-phuong-van-quan/cho-tai-khu-do-thi-quan-pr43163193
1,TingTong 121 - chung cư mini gác xép full đồ - vào ở ngay tại cuối đường Chiến Thắng - Hà Đông,"3,8 triệu/tháng","Văn Quán, Hà Đông",https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-duong-nguyen-khuyen-phuong-van-quan/tingtong-121-chung-cu-mini-gac-xep-full-do-vao-o-ngay-tai-cuoi-chien-thang-ha-dong-pr42085720
1,,,,
1,,,,
1,"Cho thuê phòng khép kín dạng CC mini ở ngõ 146, Trần Phú, Hà Đông",2 triệu/tháng,"Mỗ Lao, Hà Đông",https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-duong-tran-phu-phuong-mo-lao/cho-khep-kin-dang-cc-mini-o-ngo-4-ha-dong-pr18011373
1,"Chính chủ Co thuê Phòng căn hộ CCMN Cuối Đường Văn Quán Bạch Thái Bưởi có Gác xép giá 3,9 triệu.","3,9 triệu/tháng","Văn Quán, Hà Đông",https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-duong-van-yen-phuong-van-quan/chinh-chu-co-can-ho-ccmn-cuoi-bach-thai-buoi-co-gac-xep-gia-3-9-trieu-pr44255017
1,"Chính chủ Cho thuê Phòng Đường Nguyễn Khuyến Văn Quán,gần Bạch Thái Bưởi gần viện quân y 103 có gác","3,9 triệu/tháng","Văn Quán, Hà Đông",https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-duong-van-quan-phuong-van-quan/chinh-chu-cho-nguyen-khuyen-gan-bach-thai-buoi-gan-vien-y-103-co-gac-pr44254833
1,Cho thuê nhà trọ cuối đường Nguyễn Khuyến Văn Quán Hà Đông khép kín thang máy điều hòa đầy đủ ở lun,"3,6 triệu/tháng","Văn Quán, Hà Đông",https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-duong-nguyen-khuyen-phuong-van-quan/cho-chung-cu-mini-cuoi-ha-dong-khep-kin-thang-may-dieu-hoa-day-du-pr42893946
1,"Cho thuê phòng 1 ngủ Dương Nội gần Aeon Mall, có slot ô tô, full đồ - Chỉ từ 6,5tr","6,5 triệu/tháng","Dương Nội, Hà Đông",https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-phuong-duong-noi/cho-1-ngu-gan-aeon-mall-co-slot-o-to-full-do-chi-tu-6-5tr-pr43313042
