page,title,price,address,link
1,"Chính chủ cho thuê phòng trọ ngay mặt phố Khâm Thiên Đống Đa rộng 45m2 khép kín tầng 3 ở luôn 5,5tr","5,5 triệu/tháng","Khâm Thiên, Đống Đa",https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-pho-kham-thien-phuong-kham-thien/chinh-chu-cho-ngay-mat-dong-da-rong-45m-khep-kin-tang-3-o-luon-5-5tr-pr42971206
1,"Chính chủ cho thuê phòng tại Khâm Thiên, Đống Đa có 1 ngủ và 1 phòng khách điều hòa nóng lạnh","5,3 triệu/tháng","Khâm Thiên, Đống Đa",https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-pho-kham-thien-phuong-kham-thien/chinh-chu-cho-tai-dong-da-co-1-ngu-va-1-khach-dieu-hoa-nong-lanh-pr42900936
1,"Cho thuê phòng trọ tại Đường Láng, 6 triệu, 25 m2, đầy đủ tiện nghi, Chính chủ",6 triệu/tháng,"Láng Thượng, Đống Đa",https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-duong-lang-phuong-lang-thuong/cho-tai-6-trieu-25-m2-day-du-tien-nghi-chinh-chu-pr44271391
1,"Cho thuê phòng 2PN, 5 triệu, 45m2, tầng 4, nhà 2 khu cầu thang riêng an toàn PCCC tại Quốc Tử Giám",5 triệu/tháng,"Văn Chương, Đống Đa",https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-pho-quoc-tu-giam-phuong-van-chuong/cho-2pn-6-trieu-45m2-tai-dong-da-gia-uu-dai-hot-pr43728782
1,Cho thuê phòng trung tâm HN gần ĐH Bách Khoa,"1,4 triệu/tháng","Phương Liên, Đống Đa",https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-pho-kim-hoa-phuong-phuong-lien/cho-trung-tam-hn-gan-dh-bach-khoa-pr44267689
1,"Cho thuê CCMN: Điều hòa, NL; gần CV Thống nhất; giá 3,5tr; Số B11 khu TT Hồ Ba Mẫu; 0913 345 ***","3,5 triệu/tháng","Khâm Thiên, Đống Đa",https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-duong-ho-ba-mau-phuong-kham-thien/c-ccmn-dieu-a-nl-gan-cv-tng-nhat-gia-tu-2-7tr-so-b11-khu-tt-mau-pr40753837
1,Cho thuê phòng tại 230 Khương Thượng - Đống Đa mới 100%,"8,5 triệu/tháng","Khương Thượng, Đống Đa",https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-pho-khuong-thuong-phuong-khuong-thuong/cho-tai-230-dong-da-moi-100-pr44264946
1,Số nhà 75 đường Láng ngay mặt đường chính,5 triệu/tháng,"Láng Hạ, Đống Đa",https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-pho-lang-ha-phuong-lang-ha/so-75-duong-ngay-mat-duong-chinh-pr44264260
1,"Nhà mình có CCMN cao cấp 8 tầng mới xây, 27 phòng trọ muốn cho thuê ngách 1, ngõ 562 Đường Láng",2 triệu/tháng,"Láng Thượng, Đống Đa",https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-duong-lang-phuong-lang-thuong/-minh-co-ccmn-cao-cap-8-tang-moi-xay-27-muon-cho-ngach-1-ngo-562-lang-pr17097027
1,Nhà ngách 9 ngõ 252 Tây Sơn có 2 tòa thang bộ và thang máy,"2,5 triệu/tháng","Trung Liệt, Đống Đa",https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-duong-tay-son-phuong-trung-liet/ngo-43-chua-boc-va-ngach-9-ngo-252-co-2-toa-thang-bo-va-thang-may-pr42498972
