page,title,price,address,link
1,"Cho thuê phòng 15m2, full nội thất ô tô đỗ cửa, gần Tiểu học Văn Yên Hà Nội. Giá 3.2tr. LH094414969","3,2 triệu/tháng","Mỗ Lao, Hà Đông",https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-duong-nguyen-cong-tru-phuong-mo-lao/cho-15m2-full-noi-that-o-to-do-cua-gan-tieu-hoc-van-yen-ha-noi-gia-3-2tr-lh094414969-pr44284015
1,Cho thuê nhà trọ cuối đường Nguyễn Khuyến Văn Quán Hà Đông khép kín thang máy điều hòa đầy đủ ở lun,"3,7 triệu/tháng","Văn Quán, Hà Đông",https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-duong-nguyen-khuyen-phuong-van-quan/cho-chung-cu-mini-cuoi-ha-dong-khep-kin-thang-may-dieu-hoa-day-du-pr42893946
1,"Cho thuê phòng trọ tại Tiểu khu đô thị mới Vạn Phúc, 2 triệu VND, 25 m2. LH: 0936 846 ***",2 triệu/tháng,"Vạn Phúc, Hà Đông",https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-duong-to-huu-phuong-van-phuc-1-prj-tieu-khu-do-thi-moi-van-phuc/cho-tai-2-trieu-vnd-25-m2-lh-pr42659218
1,"Cho thuê phòng 15m2, full nội thất ô tô đỗ cửa, gần Tiểu học Văn Yên Hà Nội. Giá 3.2tr. LH094414969","3,2 triệu/tháng","Mỗ Lao, Hà Đông",https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-duong-nguyen-cong-tru-phuong-mo-lao/cho-15m2-full-noi-that-o-to-do-cua-gan-tieu-hoc-van-yen-ha-noi-gia-3-2tr-lh094414969-pr44284015
1,"PHÒNG TRỌ GIÁ RẺ - PHÙ HỢP Ở 1 - 2 NGƯỜI Ở QUANG TRUNG, DƯƠNG NỘI, HÀ ĐÔNG, HÀ NỘI","1,8 triệu/tháng","Phú La, Hà Đông",https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-duong-quang-trung-phuong-phu-la/-gia-re-hop-o-1-2-nguoi-o-noi-ha-dong-ha-noi-pr44291073
1,"Chính chủ cho thuê phòng trọ Văn Quán, Yên Xá, cuối đường Nguyễn Khuyến khép kín đầy đủ tiện nghi","3,7 triệu/tháng","Văn Quán, Hà Đông",https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-duong-nguyen-khuyen-phuong-van-quan/chinh-chu-cho-yen-xa-cuoi-khep-kin-day-du-tien-nghi-pr37844293
1,"TingTong 144 - Phòng gác xép - tiện nghi - Ngô Thì Sỹ, Vạn Phúc - giá siêu rẻ ở luôn","3,25 triệu/tháng","Vạn Phúc, Hà Đông",https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-duong-ngo-thi-sy-phuong-van-phuc-1/tingtong-144-gac-xep-tien-nghi-gia-sieu-re-o-luon-pr43712336
1,"Chính chủ cho thuê phòng phù hợp hộ gia đình-ban công thoáng- 3,6tr/Tầng 3 ,KĐT Phú Lương","3,6 triệu/tháng","Phú La, Hà Đông",https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-duong-le-trong-tan-phuong-phu-la-prj-khu-do-thi-moi-van-phu/chinh-chu-cho-xay-tang-2-kdt-ban-cong-to-rong-khep-kin-gia-3-8-trieu-pr44128230
1,"Cho thuê phòng studio cao cấp, full nội thất ô tô đỗ cửa, gần Tiểu học Văn Yên, Hà Đông","4,2 triệu/tháng","Mỗ Lao, Hà Đông",https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-duong-nguyen-cong-tru-phuong-mo-lao/cho-studio-cao-cap-full-noi-that-o-to-do-cua-gan-tieu-hoc-van-yen-ha-dong-pr43141779
1,"Cho thuê phòng trọ 1N1K, 6 triệu, gần khu đô thị Kiến Hưng Luxury, Mậu Lương giá siêu hời",6 triệu/tháng,"Kiến Hưng, Hà Đông",https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-duong-mau-luong-phuong-kien-hung/cho-1n1k-6-trieu-tai-khu-do-thi-luxury-gia-sieu-hoi-pr44281882
