page,title,price,address,link
1,"Chính chủ cho thuê phòng đơn 61 Hoàng Cầu. Phân lô ô tô chỉ từ 1,4tr - 1.9tr/tháng","1,5 triệu/tháng","Ô Chợ Dừa, Đống Đa",https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-pho-hoang-cau-phuong-o-cho-dua/chinh-chu-ch-dn-61-phan-l-t-chi-tu-1-5tr-2tr-thang-pr42301328
1,"Phòng rẻ đẹp ở 1 người, đủ đồ 61 Hoàng Cầu, ngõ rộng thoáng 1.9tr","1,9 triệu/tháng","Ô Chợ Dừa, Đống Đa",https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-pho-hoang-cau-phuong-o-cho-dua/-re-dep-1-ngui-du-d-61-ng-rng-t-1-9-2-3-tr-pr39119104
1,"Chính chủ cho thuê phòng đơn, full đồ, khoá từ vân tay. Giờ tự do từ 1.4tr - 1.9tr ở 61 Hoàng Cầu","1,7 triệu/tháng","Ô Chợ Dừa, Đống Đa",https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-pho-hoang-cau-phuong-o-cho-dua/chinh-chu-don-full-do-khoa-tu-van-tay-gio-tu-do-chi-tu-1-7tr-tai-61-cau-pr41640947
1,"Cho thuê phòng trọ full đồ từ 1,5tr đến 2,5tr/th ở 61 Hoàng Cầu, Đống Đa, Hà Nội","1,5 triệu/tháng","Ô Chợ Dừa, Đống Đa",https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-pho-hoang-cau-phuong-o-cho-dua/ch-full-d-tu-1-5tr-den-2-5tr-61-dng-da-ha-ni-pr40439589
1,"Cho thuê căn hộ chill tại Phố Hoàng Cầu, 40 m2 view hồ đủ nội thất, giá từ 3 tr 0934 406 ***",Giá thỏa thuận,"Trung Liệt, Đống Đa",https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-pho-hoang-cau-phuong-trung-liet/cho-tai-40-m2-view-ho-du-noi-that-gia-tu-3-tr-pr43001349
1,Comi Homes 34 Hoàng Cầu cho thuê phòng studio đủ đồ với ưu đãi siêu khủng lên đến hơn 50%,"6,2 triệu/tháng","Ô Chợ Dừa, Đống Đa",https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-pho-hoang-cau-phuong-o-cho-dua/comi-homes-34-studio-du-do-voi-uu-dai-sieu-khung-len-den-hon-50-pr42722927
1,Cho thuê phòng khép kín đầy đủ đồ - 3.5 tr/th tại ngõ 2 Hoàng Cầu - Đống Đa,"3,5 triệu/tháng","Ô Chợ Dừa, Đống Đa",https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-pho-hoang-cau-phuong-o-cho-dua/-khep-kin-day-du-do-3-5tr-tai-ngo-2-dong-da-pr39567921
1,"Cho thuê phòng trọ đẹp tại Hoàng Cầu, Đống Đa, Hà Nội, 2,6 triệu, 14m2","2,6 triệu/tháng","Ô Chợ Dừa, Đống Đa",https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-pho-hoang-cau-phuong-o-cho-dua/-dep-tai-dong-da-ha-noi-2-6-trieu-14m2-pr43740674
1,"Chính chủ cho thuê phòng trọ ngõ 16 Hoàng Cầu Đống Đa giá 3.8 triệu, ban công cửa sổ thoáng mát",3 triệu/tháng,"Ô Chợ Dừa, Đống Đa",https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-pho-hoang-cau-phuong-o-cho-dua/chinh-chu-ccmn-ngo-16-dong-da-gia-2-5-4-5trieu-ban-cong-cua-so-pr43652773
1,"Chính chủ cho thuê CCMN, ngõ 16 Hoàng Cầu Đống Đa giá 2.8 - 3.8 triệu, ban công cửa sổ","2,8 triệu/tháng","Ô Chợ Dừa, Đống Đa",https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-pho-hoang-cau-phuong-o-cho-dua/chinh-chu-ccmn-ngo-16-dong-da-gia-2-8-3-8-trieu-ban-cong-cua-so-pr43420510
1,,,,
1,,,,
1,"Cho thuê phòng trọ thoáng, ngõ 16 Hoàng Cầu, gần đại học Văn Hóa, DT: 14m2, 24m2, giá 2,9 - 4 tr","2,9 triệu/tháng","Ô Chợ Dừa, Đống Đa",https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-pho-hoang-cau-phuong-o-cho-dua/chu-co-ban-cong-ngo-16-gan-dai-hoc-van-hoa-dt-24m-gia-3-8-tr-pr43316995
1,"CHÍNH CHỦ CHO THUÊ CCMN, NGÕ 16 HOÀNG CẦU ĐỐNG ĐA GIÁ 2.5 - 4.5TRIỆU, BAN CÔNG CỬA SỔ",3 triệu/tháng,"Ô Chợ Dừa, Đống Đa",https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-pho-hoang-cau-phuong-o-cho-dua/chinh-chu-ccmn-ngo-16-dong-da-gia-2-5-4-5trieu-ban-cong-cua-so-pr43266597
1,Cho thuê 1N1K khu vực trung tâm khu vực Đống Đa thuận tiện đi lại,"8,3 triệu/tháng","Ô Chợ Dừa, Đống Đa",https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-pho-hoang-cau-phuong-o-cho-dua/-1n1k-khu-vuc-trung-tam-khu-vuc-dong-da-thuan-tien-di-lai-pr43040814
1,Cho thuê CCMN ngõ 84/34 Hoàng Cầu Đống Đa,"11,5 triệu/tháng","Ô Chợ Dừa, Đống Đa",https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-pho-hoang-cau-phuong-o-cho-dua/-ccmn-ngo-84-34-dong-da-pr42943330
